title,year,author,genres,pages
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",2005,R.L. Stine,Juvenile Fiction,432
A Quick Bite,2005,Lynsay Sands,Fiction,360
Goodnight Moon 60th Anniversary Edition,2005,Margaret Wise Brown,Juvenile Fiction,32
Brave New World and Brave New World Revisited,2005,Aldous Huxley,Fiction,340
The Final Solution,2005,Michael Chabon,Fiction,131
The Cat's Pajamas,2005,Ray Bradbury,Fiction,234
Holy Skirts,2005,Rene Steinke,Fiction,384
Time For Kids: Butterflies!,2006,Editors of TIME For Kids,Juvenile Nonfiction,32
A False Mirror,2007,Charles Todd,Fiction,384
Cracks in My Foundation,2005,Marian Keyes,Fiction,368
A Fistful of Charms,2006,Kim Harrison,Fiction,510
For a Few Demons More,2007,Kim Harrison,Fiction,456
Mysteries of Pittsburgh,2005,Michael Chabon,Fiction,320
Everything Is Illuminated tie-in,2005,Jonathan Safran Foer,Fiction,276
Flight of the Nighthawks,2006,Raymond E. Feist,Fiction,368
Into a Dark Realm,2007,Raymond E. Feist,Fiction,319
The 3-Hour Diet (TM) On the Go (Collins Gem),2005,Jorge Cruise,Health & Fitness,192
The Best American Crime Writing 2006,2006,"Mark Bowden, Otto Penzler, Thomas H. Cook",,352
Last of the Wilds,2006,Trudi Canavan,Fiction,576
Voice of the Gods,2007,Trudi Canavan,Fiction,592
Missing Mom,2006,Joyce Carol Oates,Fiction,464
"The Collected Letters of C.S. Lewis, Volume 3",2004,C. S. Lewis,Biography & Autobiography,1840
Touch Not the Cat,2005,Mary Stewart,Fiction,372
King of the Vagabonds,2006,Neal Stephenson,Fiction,400
Odalisque,2006,Neal Stephenson,Fiction,464
Black Boy,2005,Richard Wright,Biography & Autobiography,432
The Sheltering Sky,2005,Paul Bowles,Fiction,313
Rat Bastards,2006,John Shea,Biography & Autobiography,304
The Last Days of Henry VIII,2005,Robert Hutchinson,Biography & Autobiography,368
The Thorn Birds,2005,Colleen McCullough,Fiction,673
Krakatoa,2005,Simon Winchester,History,464
The Professor and the Madman,2005,Simon Winchester,Biography & Autobiography,242
Hit Parade,2006,Lawrence Block,Fiction,295
The Curtain,2006,Milan Kundera,,176
"A Hard Day's Write, 3e",2005,Steve Turner,Music,224
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",2005,"C. S. Lewis, Pauline Baynes",Juvenile Fiction,189
"Mambo Kings Play Songs of Love, The Tie-in",2005,Oscar Hijuelos,Fiction,448
Sex with the Queen,2006,Eleanor Herman,History,336
Brave New World,2006,Aldous Huxley,Fiction,259
Queen of Babble,2006,Meg Cabot,Fiction,309
"Animal, Vegetable, Miracle",2007,"Barbara Kingsolver, Camille Kingsolver, Steven L. Hopp",Biography & Autobiography,370
Good Omens,2006,"Neil Gaiman, Terry Pratchett",Fiction,412
Dates From Hell,2006,"Kim Harrison, Lynsay Sands, Kelley Armstrong, Lori Handeland",Fiction,416
Continental Drift,2007,Russell Banks,Fiction,408
The Burglar Who Thought He Was Bogart,2006,Lawrence Block,Fiction,400
Next,2006,Michael Crichton,Fiction,431
How to Be Popular,2006,Meg Cabot,Juvenile Fiction,288
