title,year,author,genres,pages
Disaster!,1997,Richard Platt,Juvenile Fiction,63
Flowers,1997,David Burnie,Juvenile Nonfiction,64
A Young Person's Guide to Philosophy,1998,,Juvenile Nonfiction,64
Story of Philosophy,1998,Bryan Magee,Philosophy,240
Tree,2000,David Burnie,Juvenile Nonfiction,64
The Illustrated Book of Ballet Stories,2000,"Barbara Newman, Gill Tomblin, Darcey Bussell",Juvenile Fiction,64
Reptiles and Amphibians,2002,"Mark O'Shea, Tim Halliday",Juvenile Nonfiction,256
Serial Murder,1997,Robert W. Dolan,Juvenile Nonfiction,80
J.D. Salinger's The Catcher in the Rye,2000,Harold Bloom,Juvenile Nonfiction,176
Ray Bradbury's Fahrenheit 451,2001,Harold Bloom,Juvenile Nonfiction,147
Bram Stoker's Dracula,2003,Harold Bloom,Juvenile Nonfiction,243
Edith Wharton's The Age of Innocence,2005,Harold Bloom,Juvenile Nonfiction,205
Freedom Riders,2006,Ann Bausum,Juvenile Nonfiction,80
National Geographic Field Guide to the Birds of North America,2006,"Jon Lloyd Dunn, Jonathan K. Alderfer",Nature,503
Everest,2003,"Broughton Coburn, Tim Cahill, David Breashears",Nature,256
In Focus,2004,National Geographic Society (U.S.),,504
Gulliver's Travels,2003,,Juvenile Fiction,64
Liturgies of the Western Church,1980,Bard Thompson,Religion,434
Introduction to World Religions,2005,Christopher Hugh Partridge,Religion,495
How to Think Theologically,2006,"Howard W. Stone, James O. Duke",Religion,142
Letters of Saint Augustine,1992,"Saint Augustine (Bishop of Hippo.), John Leinenweber",,255
The Screwtape Letters/Book & Study Guide,1978,C. S. Lewis,,172
Always Enough,2003,"Rolland Baker, Heidi Baker",Religion,192
The Bram Stoker Bedside Companion,1973,Bram Stoker,Fiction,224
Silence,1980,Shūsaku Endō,Fiction,201
'Gorgias' and 'Phaedrus',1998,Plato,Philosophy,233
The River Runs Black,2004,Elizabeth Economy,History,337
ADHD in Adulthood,2001,"Margaret Weiss, Lily Trokenberg Hechtman, Gabrielle Weiss",Medical,376
Berlin Diary,2002,William L. Shirer,Biography & Autobiography,627
The Odyssey,2005,Homer,History,472
"Right Stuff, Wrong Sex",2005,Margaret A. Weitekamp,History,256
Infinite Jests,1974,Robert Silverberg,,231
Quiet Days in Clichy,1987,Henry Miller,Fiction,154
The Malady of Death,1988,Marguerite Duras,Fiction,60
"The Bald Soprano, and Other Plays",1982,Eugène Ionesco,Drama,160
India Song,1988,Marguerite Duras,Drama,146
The Blind Owl,1989,"Sadegh Hedayat, Ṣādiq Hidāyat",Fiction,148
Practicalities,1993,Marguerite Duras,Biography & Autobiography,143
Nova Express,1992,William S. Burroughs,Fiction,192
Edie,1994,Jean Stein,Biography & Autobiography,564
"The Complete Short Prose, 1929-1989",1995,Samuel Beckett,Fiction,336
The Passion,1987,Jeanette Winterson,Fiction,176
Sexing the Cherry,1989,Jeanette Winterson,Fiction,167
This boy's life,1999,Tobias Wolff,Biography & Autobiography,304
The Six Wives of Henry VIII,2000,Alison Weir,Biography & Autobiography,643
Last Words,2001,William S. Burroughs,Biography & Autobiography,273
Four Blondes,2001,Candace Bushnell,Fiction,256
The House of Morgan,2001,Ron Chernow,Biography & Autobiography,812
The Eternal Frontier,2002,Tim Flannery,History,432
Parliament of Whores,2003,P. J. O'Rourke,Humor,240
Charlie Wilson's War,2003,George Crile,History,560
Monster,1993,Sanyika Shakur,Biography & Autobiography,400
Layer Cake,2004,J. J. Connolly,Fiction,344
Reservation Blues,2005,Sherman Alexie,Fiction,306
Lord Malquist and Mr. Moon,2006,Tom Stoppard,Fiction,200
Cold Mountain,2006,"Charles Frazier, George Vithoulkas",Fiction,356
The Labyrinth of Solitude,1985,Octavio Paz,History,398
Every Good Boy Deserves Favor and Professional Foul,1978,Tom Stoppard,Drama,188
"Exit the King, The Killer, and Macbett",1985,Eugène Ionesco,Drama,105
"Destroy, She Said",1986,Marguerite Duras,Fiction,133
Sexus,1987,Henry Miller,Fiction,506
Tropic of Capricorn,1961,Henry Miller,Fiction,348
The 10 Commandments of Parenting,2005,H. Edwin Young,Religion,224
Little Pilgrim's Progress,2006,Helen L. Taylor,Juvenile Fiction,336
E=mc2,2000,David Bodanis,Science,352
Longitude,2005,"Dava Sobel, Neil Armstrong",Science,192
The -Alchemist's Kitchen,2006,Guy Ogilvy,"Body, Mind & Spirit",58
A History of the World in 6 Glasses,2006,Tom Standage,Cooking,336
The Illustrated Longitude,2003,"Dava Sobel, William J.H. Andrewes",Science,224
Once Upon a Cool Motorcycle Dude,2005,Kevin O'Malley,Juvenile Fiction,32
The Pilgrim's Regress,1981,C. S. Lewis,Religion,219
A Time to Embrace,2006,William Stacy Johnson,Political Science,330
Jesus and the Eyewitnesses,2006,Richard Bauckham,Religion,538
The Early History of God,2002,Mark S. Smith,Religion,243
Pirates of Venus,1934,Edgar Rice Burroughs,Fiction,179
The Coming of the Fairies,2006,Arthur Conan Doyle,Fiction,189
The Lost Continent,2002,C. J. Cutcliffe Hyne,Fiction,260
Black Elk Speaks,2004,"Black Elk, John Gneisenau Neihardt, Alexis N. Petri, Lori Utecht",Biography & Autobiography,270
A Lie and a Libel,1996,Binjamin W. Segel,History,148
William Shakespeare's Twelfth Night,2003,"Bruce Coville, Tim Raglin",Juvenile Fiction,48
William Shakespeare's Romeo and Juliet,1999,,Juvenile Fiction,40
Time for Ballet,2004,"Adèle Geras, Shelagh McNicholas",Juvenile Fiction,32
House of Incest,1989,Anaïs Nin,Fiction,72
A Woman Speaks,1975,"Anaïs Nin, Evelyn J. Hinz",,288
The 13th directorate,1989,Barry Chubin,Fiction,0
The Killer Department,1993,Robert Cullen,,258
Patty Jane's House of Curl,1999,Lorna Landvik,Fiction,304
Tending Lives,1998,Echo Heron,Medical,416
A Patchwork Planet,2001,Anne Tyler,Fiction,320
Horse Heaven,2003,Jane Smiley,Fiction,640
The Epic of Gilgamesh,1989,Maureen Gallery Kovacs,Literary Criticism,122
The Consequences of Modernity,1990,Anthony Giddens,Social Science,188
Taking God Out of Mathematics and Putting the Body Back in,1993,Brian Rotman,Philosophy,224
"Human, All Too Human, I",2000,"Friedrich Wilhelm Nietzsche, Gary Handwerk",Philosophy,396
The Golden Country,2003,"Shusaku Endo, Shūsaku Endō",Drama,128
The Anatomy of Human Destructiveness,1992,Erich Fromm,Psychology,576
Escape from Freedom,1994,Erich Fromm,Political Science,301
Clown,1998,Quentin Blake,Juvenile Fiction,32
Crime and Punishment in America,1998,Elliott Currie,Social Science,240
The Magic Journey,2000,John Nichols,Fiction,528
Robert Frost,2000,Jay Parini,Biography & Autobiography,514
The Milagro Beanfield War,2000,John Nichols,Fiction,456
Nickel and Dimed,2002,Barbara Ehrenreich,Business & Economics,240
Eight Men Out,2000,Eliot Asinof,Sports & Recreation,336
John Adams,2003,John P. Diggins,Biography & Autobiography,224
Ulysses S. Grant,2004,Josiah Bunting,Biography & Autobiography,208
You Come Too,2002,Robert Frost,Juvenile Nonfiction,92
The Poetry of Robert Frost,2002,Robert Frost,Poetry,607
Rosa,2005,Nikki Giovanni,Juvenile Nonfiction,40
Media Unlimited,2003,Todd Gitlin,Social Science,256
In Harm's Way,2003,Doug Stanton,History,384
Shakespeare's Secret,2005,Elise Broach,Juvenile Fiction,256
The Second World War,2004,Martin Gilbert,History,928
The Nubian Prince,2006,Juan Bonilla,Fiction,258
"The Historical Atlas of New York City, Second Edition",2005,Eric Homberger,History,192
Messenger of Truth,2006,Jacqueline Winspear,Fiction,322
Saint-Exupery,2006,Stacy Schiff,Biography & Autobiography,560
The Black Cauldron,2006,Lloyd Alexander,Juvenile Fiction,182
Taran Wanderer,2006,Lloyd Alexander,Juvenile Fiction,222
The High King,2006,Lloyd Alexander,Juvenile Fiction,253
The Foundling,2006,Lloyd Alexander,Juvenile Fiction,98
Travels in the Scriptorium,2007,Paul Auster,Fiction,145
The diaries of Franz Kafka,1965,"Franz Kafka, Max Brod",Biography & Autobiography,345
The diaries,1988,Franz Kafka,Biography & Autobiography,521
"The Trial of God (as it was Held on February 25, 1649, in Shamgorod)",1995,Elie Wiesel,Fiction,208
The Complete Stories,1995,Franz Kafka,Fiction,486
"The Magic Orange Tree, and Other Haitian Folktales",1978,"Diane Wolkstein, Elsa Henriquez",Fiction,224
How to Be a Jewish Parent,2000,"Anita Diamant, Karen Kushner",Family & Relationships,352
The Zürau Aphorisms of Franz Kafka,2006,Franz Kafka,Philosophy,160
Emma Lazarus,2006,Esther H. Schor,Biography & Autobiography,368
The Origins of Totalitarianism,1951,Hannah Arendt,Philosophy,674
The Anatomy Coloring Book,2002,"Wynn Kapit, Lawrence M. Elson",Science,400
Human Anatomy & Physiology,2007,"Elaine Nicpon Marieb, Katja Hoehn",Medical,1296
Anatomy & Physiology Coloring Workbook,2004,Elaine N. Marieb,Medical,368
The Feynman Lectures on Physics,2006,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",Science,1552
The Feynman Lectures on Physics,1963,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",Science,512
The Feynman Lectures on Physics,1963,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",Science,384
Watchmen on the Walls,1998,Hannah Hurnard,History,184
Letters to Children,1985,Clive Staples Lewis,Religion,128
Things Pondered,2004,Beth Moore,Religion,160
Once Upon a Gulf Coast Summer,2004,Susan Oliver,Fiction,368
Monkey Business,2005,"Marvin N. Olasky, John Perry",Religion,368
Writing the Qualitative Dissertation,2002,Judith M. Meloy,Education,242
Ovid's Metamorphoses,1972,Ovid,Social Science,560
Tibullus,1979,Michael C. J. Putnam,,222
Warfare in the Classical World,1995,John Gibson Warry,History,224
Ovid's Metamorphoses,1997,Ovid,Drama,584
Regeneration Through Violence,2000,Richard Slotkin,Literary Criticism,670
So Far from God,2000,John S. D. Eisenhower,History,464
Selections from Homer's Iliad,2001,Homer,Literary Criticism,522
The Broken Wings,1989,Kahlil Gibran,,132
Existentialism and Human Emotions,1985,Jean-Paul Sartre,Philosophy,96
Wizard,1998,Marc J. Seifer,Biography & Autobiography,542
The Parrot Head Companion,1998,Thomas Ryan,Music,176
The Minority Report,1999,Philip K. Dick,Fiction,396
Ruby Ann's Down Home Trailer Park Cookbook,2002,Ruby Ann Boxcar,Cooking,240
Vicars of Christ,2003,Charles A. Coulombe,Religion,492
The Minority Report,2002,Philip K. Dick,Fiction,380
The Complete Films of Alfred Hitchcock,2002,"Robert A. Harris, Michael S. Lasky",Performing Arts,256
Edward Lear,2001,Edward Lear,Juvenile Nonfiction,48
Man's Search for Meaning,1992,Viktor Emil Frankl,Psychology,165
Man's Search for Meaning,2006,Viktor Emil Frankl,Biography & Autobiography,165
Lorca & Jiménez,1997,Federico Garcia Lorca,Literary Criticism,208
The Poetics of Space,1994,Gaston Bachelard,Philosophy,282
Art and Culture,1961,Clement Greenberg,Art,288
You Can't be Neutral on a Moving Train,2002,Howard Zinn,Biography & Autobiography,214
When the Rivers Run Dry,2006,Fred Pearce,Nature,336
The Collected Poems of Robert Penn Warren,1998,"Robert Penn Warren, John Burt",Poetry,838
The Midnight Mystery (The Boxcar Children Mysteries #95),2003,Gertrude Chandler Warner,Juvenile Fiction,128
When I Feel Angry,2000,Cornelia Maude Spelman,Juvenile Fiction,24
A Persian requiem,1992,Sīmīn Dānishvar,Fiction,279
Einstein's 1912 manuscript on the special theory of relativity,2003,Albert Einstein,Biography & Autobiography,174
Jasmine and Stars,2007,Fatemeh Keshavarz,Literary Criticism,174
Allusions in Ulysses,1982,Weldon Thornton,Literary Criticism,563
The Scotch-Irish,1989,James G. Leyburn,History,377
"The Creation of the American Republic, 1776-1787",1998,Gordon S. Wood,Political science,675
The Transcendence of the Ego,1957,Jean-Paul Sartre,Philosophy,120
The Weimar Republic,1993,Detlev J. K. Peukert,History,360
Love You Until...,1999,Lisa McCourt,Religion,32
Wooden: A Lifetime of Observations and Reflections On and Off the Court,1997,John Wooden,Biography & Autobiography,201
"What Life Was Like on the Banks of the Nile: Egypt, 3050-30 B.C.",1996,Time-Life,,192
Manna from Heaven,2003,"Roger Zelazny, Steven Brust, Scott Zrubeck",Fiction,255
Toast,2005,Charles Stross,Comics & Graphic Novels,247
Anna Karenina,2004,"Leo Nikolayevich Tolstoy, Leo Tolstoy, Constance Garnett",Fiction,740
"Billy Budd, Sailor and Other Uncompleted Writings",2017,Herman Melville,Fiction,1016
The Chain of Chance,2000,Stanisław Lem,Literary Criticism,179
His Master's Voice,1999,Stanisław Lem,Fiction,199
A Perfect Vacuum,1999,Stanisław Lem,Fiction,229
The Phenomenon of Life,2001,"Hans Jonas, Eleonore Jonas",Philosophy,304
Lewis Carroll's Jabberwocky,1996,Graeme Base,Juvenile Nonfiction,14
The Lighthouse Land,2006,Adrian McKinty,Juvenile Fiction,372
Babar's World Tour,2005,Laurent de Brunhoff,Juvenile Fiction,48
Ruby Gloom's Guide to Friendship,2005,Mighty Fine Inc.,Juvenile Nonfiction,72
The Beatles,2005,Simon Wells,Performing Arts,744
Creating the Worlds of Star Wars,2005,"John Knoll, J. W. Rinzler",Performing Arts,744
The Art of Maurice Sendak,1998,Selma G. Lanes,Biography & Autobiography,258
National Geographic Society,2001,C. D.B. Bryan,,528
The Boy Who Couldn't Die,2005,William Sleator,Juvenile Fiction,161
Pink Box,2006,Joan Sinclair,Art,192
"Paris Spleen, 1869",1970,"Charles Baudelaire, Charles Pierre Baudelaire",Poetry,118
The Berlin Stories,1963,Christopher Isherwood,Fiction,401
The Air-conditioned Nightmare,1970,Henry Miller,Fiction,292
"Mémoires, Plaidoiries Et Documents",1969,Henry Miller,Biography & Autobiography,327
Henry Miller on Writing,1964,Henry Miller,Literary Criticism,217
The Collected Poems of Wilfred Owen,1965,Wilfred Owen,Poetry,192
Safe Conduct,1958,Boris Leonidovich Pasternak,Biography & Autobiography,256
The Flight of Icarus,1973,Raymond Queneau,Fiction,191
Turtle Island,1974,Gary Snyder,Poetry,112
Selected Poems,1984,"Octavio Paz, G. Aroul",Poetry,160
Seven Nights,1984,Jorge Luis Borges,,121
The Blue Flowers,1985,Raymond Queneau,Poetry,232
"The Collected Poems of Octavio Paz, 1957-1987",1991,Octavio Paz,Poetry,669
The Crack-up,1993,Francis Scott Fitzgerald,,347
Deep River,1996,Shūsaku Endō,Fiction,216
The Samurai,1997,Shūsaku Endō,Fiction,272
"The Daring Young Man on the Flying Trapeze, and Other Stories",1997,William Saroyan,Fiction,272
In Search of Duende,1998,"Federico García Lorca, Norman Thomas Di Giovanni",Poetry,99
Everything and Nothing,1999,Jorge Luis Borges,,108
The Red Notebook,2002,Paul Auster,Fiction,104
Borges and the Eternal Orangutans,2005,"Luís Fernando Veríssimo, Margaret Jull Costa",Fiction,135
The Selected Poems of Federico García Lorca,2005,Federico García Lorca,Poetry,186
October Light,2005,John Gardner,Fiction,399
Laughter in the Dark,1960,"Vladimir Nabokov, Vladimir Vladimirovich Nabokov, John Banville",Fiction,292
Wookiee Cookies,1998,Robin Davis,Cooking,132
The Campfire Collection,2000,Eric Martin,Fiction,176
The Star Wars Cookbook II,2000,"Frankie Frankeny, Wesley Martin",Cooking,60
Stylepedia,2006,"Steven Heller, Louise Fili",Art,336
Chicago Stories,2003,"John Miller, Genevieve Morgan",Fiction,224
The Star Wars Poster Book,2005,"Stephen Sansweet, Peter Vilmur",Performing Arts,320
Vincent's Colors,2005,"Metropolitan Museum of Art (New York, N.Y.)",Juvenile Nonfiction,48
I Am 8-bit,2006,Jon M. Gibson,Art,156
Edie,2006,"Melissa Painter, David Weisman",Biography & Autobiography,192
Chaucer's Canterbury Tales (Selected),1977,"Geoffrey Chaucer, Vincent F. Hopper",,530
"Twelfth Night, Or, What You Will",1985,William Shakespeare,Drama,256
Forms of Talk,1981,Erving Goffman,Language Arts & Disciplines,344
"Aeschylus, 1",1998,Aeschylus,Drama,178
"Euripides, 3",1998,Euripides,Drama,392
"Aeschylus, 2",1998,Aeschylus,Drama,232
The Negro,2001,W. E. B. Du Bois,History,284
Aristophanes: The Acharnians,1901,"Smith Palmer Bovie, David R. Slavitt",,322
Lord of the Flies,1959,William Golding,Fiction,208
The Last Castle,1989,"Jack Vance, Robert Silverberg",Fiction,182
The Invisible Man,1992,H. G. Wells,Fiction,178
The Last Book of Swords: Shieldbreaker's Story,1995,Fred Saberhagen,Fiction,255
Pastwatch,1997,Orson Scott Card,Fiction,402
The Medusa in the Shield,1991,David G. Hartwell,Fiction,498
A Fabulous Formless Darkness,1992,David G. Hartwell,Fiction,608
The Sixth Book of Lost Swords,1991,Fred Saberhagen,Fiction,250
The Shadow Rising,1993,Robert Jordan,Fiction,1007
Lord of Chaos,1995,Robert Jordan,Fiction,1011
Hart's Hope,1988,Orson Scott Card,Fiction,261
An Armory of Swords,1996,Fred Saberhagen,Fiction,317
Red Prophet,1988,Orson Scott Card,Fiction,311
Anthonology,1986,Piers Anthony,Fiction,384
Orion,1992,Ben Bova,Fiction,432
The Call of Earth,1994,Orson Scott Card,Fiction,352
The Ships of Earth,1995,Orson Scott Card,Fiction,351
A Meeting with Medusa,1988,"Kim Stanley Robinson, Arthur Charles Clarke",Fiction,180
Demons Don't Dream,1994,Piers Anthony,Fiction,352
Roc and a Hard Place,1996,Piers Anthony,Fiction,344
Seminole Song,1998,Vella Munn,Fiction,320
A Crown of Swords,1997,Robert Jordan,Fiction,880
Drum Calls,1998,Jo Clayton,Fiction,341
Blood of the Fold,1997,Terry Goodkind,Fiction,623
The Fourth Book of Lost Swords,1990,Fred Saberhagen,Fiction,252
Yon Ill Wind,1997,Piers Anthony,Fiction,340
A Quantum Murder,1998,Peter F. Hamilton,Fiction,375
Shadow of the Hegemon,2001,Orson Scott Card,Fiction,451
The Dastard,2001,Piers Anthony,Fiction,384
Swell Foop,2002,Piers Anthony,Fiction,384
Vale of the Vole,2000,Piers Anthony,Fiction,304
Up In a Heaval,2003,Piers Anthony,Fiction,342
Legends,1999,"George R. R. Martin, Anne McCaffrey",Fiction,379
Winter's Heart,2002,Robert Jordan,Fiction,780
The Sword of Truth,1998,Terry Goodkind,Fiction,2480
Knife of Dreams,2006,Robert Jordan,Fiction,860
The Gate of Fire,2001,Thomas Harlan,Fiction,721
Ariadne's Web,2001,Fred Saberhagen,Fiction,432
Mindstar Rising,1997,Peter F. Hamilton,Fiction,432
The Simpsons and Philosophy,2001,"William Irwin, Mark T. Conard, Aeon J. Skoble",Performing Arts,256
Woody Allen and Philosophy,2004,"Mark T. Conard, Aeon J. Skoble",Performing Arts,250
Harry Potter and Philosophy,2004,"David Baggett, Shawn Klein, William Irwin",Fiction,243
Buffy the Vampire Slayer and Philosophy,2003,James B. South,Performing Arts,335
The Lord of the Rings and Philosophy,2003,"Gregory Bassham, Eric Bronson",Literary Criticism,240
Superheroes and Philosophy,2005,"Thomas V. Morris, Matt Morris, William Irwin",Comics & Graphic Novels,300
Star Wars and Philosophy,2005,"Kevin S. Decker, William Irwin, Jason T. Eberl",Performing Arts,227
The Undead and Philosophy,2006,"Richard Greene, K. Silem Mohammad",Philosophy,288
The Beatles and Philosophy,2006,"Michael Baur, Steven Baur",Philosophy,288
Bullshit and Philosophy,2006,"Gary L. Hardcastle, George A. Reisch",Family & Relationships,288
The Little Baby Snoogle-Fleejer,1995,Jimmy Carter,,24
Random House Crossword Megaomnibus,1997,United Feature Syndication,,336
Living Faith,1998,Jimmy Carter,Religion,288
Theodore Rex,2002,Edmund Morris,Biography & Autobiography,555
Islam,2002,Karen Armstrong,Religion,230
King Solomon's Mines,2002,"Henry Rider Haggard, James Danly",Fiction,264
A Working Stiff's Manifesto,2003,Iain Levison,Biography & Autobiography,164
Funny in Farsi,2004,Firoozeh Dumas,Biography & Autobiography,240
The Birth of Venus,2004,Sarah Dunant,Fiction,427
The Knight Of Maison-Rouge,2004,Alexandre Dumas,Fiction,448
A War Like No Other,2006,Victor Davis Hanson,History,397
Selected Stories of H.G. Wells,2004,Herbert George Wells,Fiction,432
Reading Lolita in Tehran,2004,Azar Nafisi,Biography & Autobiography,356
Kim,2004,Rudyard Kipling,Fiction,306
Color,2004,Victoria Finlay,Art,464
Rendezvous in Black,2004,Cornell Woolrich,Fiction,211
No God But God,2006,Reza Aslan,Religion,310
The Mysterious Island,2004,,Fiction,723
The Ox-Bow Incident,2004,Walter Van Tilburg Clark,Fiction,247
Mountains Beyond Mountains,2004,Tracy Kidder,Biography & Autobiography,333
Caribbean,2005,James Albert Michener,Fiction,672
The Cossacks,2006,Leo Tolstoy,Fiction,161
Fooled By Randomness,2005,Nassim Taleb,Business & Economics,368
Summer Crossing,2006,"Truman Capote, Alan U. Schwartz",Fiction,142
The Alienist,2006,Caleb Carr,Fiction,498
The March,2006,E. L. Doctorow,Fiction,363
Wonderland,2006,Joyce Carol Oates,Fiction,528
The Gospel of the Flying Spaghetti Monster,2006,Bobby Henderson,Humor,169
Holding on to the Air,2002,"Suzanne Farrell, Toni Bentley",Biography & Autobiography,352
Winter Season,2003,Toni Bentley,Biography & Autobiography,168
The Cave,1959,Robert Penn Warren,Fiction,424
The Story of Avis,1985,"Elizabeth Stuart Phelps, Carol Farley Kessler",Biography & Autobiography,250
Echoes of the Marseillaise,1990,Eric J. Hobsbawm,History,168
Moods,1991,Louisa May Alcott,Fiction,538
Daughters of Decadence,1993,Elaine Showalter,Social Science,352
Girls who Wore Black,2002,"Ronna Johnson, Nancy McCampbell Grace",Literary Criticism,318
Latin Via Ovid,1982,"Norma Goldman, Jacob E. Nyenhuis",,524
Practice! Practice!,1995,"Norma Goldman, Michael Rossi",Education,152
The Gramsci Reader,2000,Antonio Gramsci,Philosophy,447
Cold Counsel,2002,"Sarah M. Anderson, Karen Swenson",Literary Criticism,320
George Eliot,2001,Kathryn Hughes,Biography & Autobiography,416
Marilyn Monroe,1993,Donald Spoto,Biography & Autobiography,752
Temptations,2002,"Otis Williams, Patricia Romanowski, Patricia Romanowski Bashe",Biography & Autobiography,304
"Edgar Allan Poe, A to Z",2001,"Dawn B. Sova, Branko·Sou閏ek",Biography & Autobiography,320
Blindness and Insight,1995,Paul de DeMan,,342
Christopher and His Kind,2001,Christopher Isherwood,Biography & Autobiography,352
The Condor and the Cows,2003,Christopher Isherwood,Biography & Autobiography,248
Filth,2005,William A. Cohen,History,360
The Man who Tricked a Ghost,1993,Laurence Yep,Juvenile Nonfiction,32
You Can Never Go Home Again,1995,Dyan Sheldon,,166
Crackup,1969,Len Morgan,,60
Notebook of a Return to the Native Land,2001,"Aimé Césaire, Clayton Eshleman, Annette Smith",Literary Criticism,66
Robert Penn Warren's All the King's Men,2000,Robert Penn Warren,Performing Arts,264
Odes to Common Things,1994,Pablo Neruda,Poetry,152
The Camera,1995,Ansel Adams,,195
The Negative,1995,Ansel Adams,,265
The Print,1995,Ansel Adams,,203
Final Rain,1989,Jerry Ahern,Fiction,220
Bright Star's Promise,1994,Karen A. Bale,Fiction,444
A Devilish Dilemma,1998,Judith Lansdowne,Fiction,288
Prince of Magic,1998,Anne Stuart,Fiction,348
My Lord Eternity,2003,Debbie Raleigh,Fiction,256
See how She Dies,2004,Lisa Jackson,Fiction,510
This Christmas,2005,"Jane Green, Jennifer Coburn, Liz Ireland",Fiction,480
My Wicked Pirate,2006,Rona Sharon,Fiction,432
CliffsNotes on Shakespeare's King Henry IV,1971,James K. Lowers,Literary Criticism,80
CliffsNotes on Shakeapeare's Twelfth Night,1960,J. L. Roberts,Literary Criticism,64
All the King's Men,1963,"L. David Allen, Robert H. Lynn",Literary Criticism,80
CliffsNotes on Tolstoy's Anna Karenina,1965,Marianne Sturman,Literary Criticism,80
Cliffs notes on Faulkner's As I lay dying,1969,James L. Roberts,Literary Criticism,72
CliffsNotes on Wright's Black Boy,1971,Carl Senna,Literary Criticism,56
CliffsNotes on Voltaire's Candide,1965,"Francois Marie Arouet, James K. Lowers",Literary Criticism,80
CliffsNotes on Heller's Catch-22,1976,C. A. Peek,Literary Criticism,48
CliffsNotes on Euripides' Medea & Electra,1965,Robert J. Milch,Drama,69
CliffsNotes on Williams' The Glass Menagerie & Streetcar Named Desire,1965,James L. Roberts,Literary Criticism,88
CliffsNotes on Flaubert's Madame Bovary,1964,James L. Roberts,Literary Criticism,80
Middlemarch,1967,"Brian Johnston, Mary Ellen Snodgrass",,109
CliffsNotes on Wiesel's Night,1996,Maryam Riess,Literary Criticism,80
CliffsNotes on Hansberry's A Raisin in the Sun,1992,Rosetta James,Literary Criticism,80
CliffsNotes on Faulkner's The Sound and the Fury,1963,James L. Roberts,Literary Criticism,72
CliffsNotes on Hemingway's The Sun Also Rises,1968,Gary Carey,Literary Criticism,80
"Beckett's Waiting for Godot, Endgame, & Other Plays",1980,"Jeffrey Fisher, James L. Roberts",,72
The Heidi Chronicles,1990,Wendy Wasserstein,Literary Criticism,81
Four Baboons Adoring the Sun,1995,John Guare,Drama,74
A Streetcar Named Desire,1953,Tennessee Williams,Drama,107
Having Our Say,1996,"Emily Mann, Sarah Louise Delany",Drama,262
"The Santaland Diaries ; And, Season's Greetings",1998,David Sedaris,Performing Arts,54
The Diary of Anne Frank,2000,"Frances Goodrich, Albert Hackett, Wendy Ann Kesselman",Drama,70
Wonder of the World,2003,David Lindsay-Abaire,Drama,72
An Adult Evening of Shel Silverstein,2003,Shel Silverstein,Drama,72
Franz Kafka's The Castle,2001,"David Fishelson, Aaron Leichter",Drama,59
Gunslinger,1989,Edward Dorn,Fiction,224
Immigrant Acts,1996,Lisa Lowe,Social Science,272
Photography's Other Histories,2003,"Christopher Pinney, Nicolas Peterson, Nicholas Thomas",,296
Nikola Tesla,1994,Carol Dommermuth-Costa,,144
Oprah Winfrey,2002,Katherine E. Krohn,Juvenile Nonfiction,128
Barack Obama,2006,Marlene Targ Brill,Juvenile Nonfiction,48
The Classical Drawing Atelier,2006,Juliette Aristides,Art,160
Freaks!,2004,Steve Miller,Art,144
The Munsters,2006,Stephen Cox,Performing Arts,208
A Picture Book of Thomas Jefferson,1991,,Juvenile Nonfiction,32
Patrick,1992,Tomie DePaola,Juvenile Nonfiction,30
A Picture Book of Anne Frank,1993,,Juvenile Nonfiction,32
In the Name of Jesus,1992,Henri J. M. Nouwen,Religion,120
Life of the Beloved,2002,Henri J. M. Nouwen,Religion,160
Save the Date,2003,"Jason King, Donna Freitas",Religion,191
Huxley and God,2003,Aldous Huxley,Religion,320
Reinventing Jesus,2006,"J. Ed Komoszewski, M. James Sawyer, Daniel B. Wallace",Religion,347
Quito 1599,2002,Kris E. Lane,History,312
Art of Being,1994,Erich Fromm,Philosophy,144
"Nathan the Wise, Minna von Barnhelm, and Other Plays and Writings: Gotthold Ephraim Lessing",1991,Peter Demetz,Literary Criticism,370
The Art of Listening,1998,Erich Fromm,Philosophy,204
Guerilla Film Makers Movie Blueprint,2003,Chris Jones,Social Science,608
Don DeLillo's White Noise,2003,Leonard Orr,Literary Criticism,96
Gabriel Garcia Marquez's Love in the Time of Cholera,2003,Tom Fahy,Literary Criticism,188
David Foster Wallace's Infinite Jest,2003,Stephen Burn,Literary Criticism,96
Anita Diamant's The Red Tent,2004,Ann Finding,Literary Criticism,88
Beyond the Chains of Illusion,2006,"Erich Fromm, Rainer Funk",Philosophy,152
JK Rowling's Harry Potter Novels,2001,Philip Nel,Literary Criticism,96
Arundhati Roy's The God of Small Things,2002,Julie Mullaney,Literary Criticism,96
History of Philosophy Volume 1,2003,Frederick Copleston,Philosophy,544
Culture of Fear Revisited,2006,Frank Furedi,Social Science,236
Cervantes in Algiers,2005,María Antonia Garcés,Health & Fitness,368
Helena,2005,Evelyn Waugh,Fiction,264
Too Busy Not to Pray,1998,"Bill Hybels, LaVonne Neff",Religion,191
The Nature of the Atonement,2006,"James K. Beilby, Paul R. Eddy",Religion,208
Original Sin,2000,Henri Blocher,Religion,158
