title,year,countries,genres,director
Blade Runner,1982,USA;Hong Kong,,Ridley Scott
News from Home,1976,France;Belgium,,Chantal Akerman
Fear Eats the Soul,1974,Federal Republic of Germany,,Rainer Werner Fassbinder
The Piano,1992,Australia;France,,Jane Campion
The 400 Blows,1959,France,,François Truffaut
Ordet,1955,Denmark,,Carl Th. Dreyer
Wanda,1970,USA,,Barbara Loden
Barry Lyndon,1975,USA;United Kingdom,,Stanley Kubrick
North by Northwest,1959,USA,,Alfred Hitchcock
The Battle of Algiers,1966,Italy;Algeria,,Gillo Pontecorvo
Stalker,1979,USSR,,Andrei Tarkovsky
Killer of Sheep,1977,USA,,Charles Burnett
Rashomon,1950,Japan,,Akira Kurosawa
Bicycle Thieves,1948,Italy,,Vittorio De Sica
Rear Window,1954,USA,,Alfred Hitchcock
À bout de souffle,1960,France,,Jean-Luc Godard
Some Like It Hot,1959,USA,,Billy Wilder
M,1931,Germany,,Fritz Lang
City Lights,1931,USA,,Charles Chaplin
Pather Panchali,1955,India,,Satyajit Ray
L'Atalante,1934,France,,Jean Vigo
8½,1963,Italy;France,,Federico Fellini
Psycho,1960,USA,,Alfred Hitchcock
Mirror,1975,USSR,,Andrei Tarkovsky
Portrait of a Lady on Fire,2019,France,,Céline Sciamma
Taxi Driver,1976,USA,,Martin Scorsese
Daisies,1966,Czechoslovakia,,Věra Chytilová
Shoah,1985,France,,Claude Lanzmann
The Night of the Hunter,1955,USA,,Charles Laughton
Au hasard Balthazar,1966,France;Sweden,,Robert Bresson
Do the Right Thing,1989,USA,,Spike Lee
Playtime,1967,France,,Jacques Tati
Late Spring,1949,Japan,,Yasujirō Ozu
The Passion of Joan of Arc,1927,France,,Carl Th. Dreyer
Seven Samurai,1954,Japan,,Akira Kurosawa
Apocalypse Now,1979,USA,,Francis Ford Coppola
Persona,1966,Sweden,,Ingmar Bergman
Close-up,1989,Iran,,Abbas Kiarostami
Meshes of the Afternoon,1943,USA,,"Maya Deren, Alexander Hackenschmied"
The Searchers,1956,USA,,John Ford
Cléo from 5 to 7,1962,France;Italy,,Agnès Varda
La Règle du jeu,1939,France,,Jean Renoir
The Godfather,1972,USA,,Francis Ford Coppola
Sunrise: A Song of Two Humans,1927,USA,,F.W. Murnau
Singin' in the Rain,1951,USA,,"Gene Kelly, Stanley Donen"
Man with a Movie Camera,1929,USSR,,Dziga Vertov
Mulholland Dr.,2001,France;USA,,David Lynch
Beau travail,1998,France,,Claire Denis
2001: A Space Odyssey,1968,USA;United Kingdom,,Stanley Kubrick
In the Mood for Love,2000,Hong Kong;France,,Wong Kar Wai
Tokyo Story,1953,Japan,,Yasujirō Ozu
Citizen Kane,1941,USA,,Orson Welles
Vertigo,1958,USA,,Alfred Hitchcock
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,Belgium;France,,Chantal Akerman
